
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "238", "237"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "239", "238"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "240", "239"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "241", "240"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "242", "241"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "243", "242"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "244", "243"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "245", "244"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "246", "245"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "247", "246"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "248", "247"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "249", "248"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "250", "249"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "251", "250"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "252", "251"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "253", "252"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "254", "253"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "255", "254"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "256", "255"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "257", "256"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "258", "257"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "259", "258"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "260", "259"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "261", "260"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "262", "261"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "263", "262"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "263", "263"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "264", "263"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "265", "264"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "266", "265"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "266", "266"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "267", "266"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "268", "267"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "268", "268"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "269", "268"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "270", "269"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "271", "270"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "272", "271"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "273", "272"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "274", "273"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "275", "274"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "276", "275"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "277", "276"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "278", "277"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "279", "278"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "279", "279"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "280", "279"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "281", "280"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "282", "281"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "283", "282"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "283", "283"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "284", "283"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "285", "284"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "286", "285"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "287", "286"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "288", "287"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "289", "288"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "290", "289"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "291", "290"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "292", "291"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "293", "292"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "294", "293"
Sunday, 13 Jan 2013 02:37:22 GMT (2): Comparing frame numbers: "295", "294"
